"filename", "language", "Meson", "Markdown", "Vala", "Properties", "Blueprint", "PostCSS", "XML", "SVG", "YAML", "comment", "blank", "total"
"/var/home/rirusha/Projects/ReadySet/plugins/welcome/page.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 21
"/var/home/rirusha/Projects/ReadySet/plugins/welcome/plugin.vala", "Vala", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/var/home/rirusha/Projects/ReadySet/po/meson.build", "Meson", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/var/home/rirusha/Projects/ReadySet/src/about.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 45
"/var/home/rirusha/Projects/ReadySet/src/application.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 0, 208
"/var/home/rirusha/Projects/ReadySet/src/config.vapi", "Vala", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/var/home/rirusha/Projects/ReadySet/src/data.vala", "Vala", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 14, 56
"/var/home/rirusha/Projects/ReadySet/src/main.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 27
"/var/home/rirusha/Projects/ReadySet/src/meson.build", "Meson", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 71
"/var/home/rirusha/Projects/ReadySet/src/options-handler.vala", "Vala", 0, 0, 140, 0, 0, 0, 0, 0, 0, 2, 32, 174
"/var/home/rirusha/Projects/ReadySet/src/pages/end-page.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 98
"/var/home/rirusha/Projects/ReadySet/src/utils.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 23
"/var/home/rirusha/Projects/ReadySet/src/widgets/devel/window.vala", "Vala", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 20, 150
"/var/home/rirusha/Projects/ReadySet/src/widgets/nothing-to-show.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 23
"/var/home/rirusha/Projects/ReadySet/src/widgets/pages-indicator.vala", "Vala", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 27, 136
"/var/home/rirusha/Projects/ReadySet/src/widgets/positioned-stack.vala", "Vala", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 35, 157
"/var/home/rirusha/Projects/ReadySet/src/widgets/step-row.vala", "Vala", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/var/home/rirusha/Projects/ReadySet/src/widgets/steps-main-page.vala", "Vala", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 40, 183
"/var/home/rirusha/Projects/ReadySet/src/widgets/steps-sidebar.vala", "Vala", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 15, 80
"/var/home/rirusha/Projects/ReadySet/src/window-content.vala", "Vala", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 7, 50
"/var/home/rirusha/Projects/ReadySet/src/window.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 76
"/var/home/rirusha/Projects/ReadySet/vala-lint.conf", "Properties", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"/var/home/rirusha/Projects/ReadySet/vapi/libpeas-2.vapi", "Vala", 0, 0, 134, 0, 0, 0, 0, 0, 0, 2, 2, 138
"Total", "-", 706, 76, 3145, 33, 852, 37, 85, 216, 136, 1766, 1067, 8119
